Airline,Date_of_Journey,Source,Destination,Route,Distance,via_1,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Flight_Category,market_share
Jet Airways,01-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,7:05,8:30,85,non-stop,No info,5678,High,0.004235087
Jet Airways,09-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,5:45,8:15,1590,1 stop,In-flight meal not included,9134,High,0.066758984
Multiple carriers,24-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:40,19:00,440,1 stop,In-flight meal not included,10791,High,0.055466841
Jet Airways,24-06-19,Delhi,Cochin,DEL → AMD → BOM → COK,6416,AMD,23:05,12:35,810,2 stops,No info,12819,High,0.092673869
IndiGo,21-03-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,5:05,10:05,300,1 stop,No info,6893,Low,0.019701721
Vistara,09-03-19,Banglore,New Delhi,BLR → DEL,1740,No,9:50,12:35,165,non-stop,No info,7240,Mid,0.005058522
GoAir,03-04-19,Banglore,Delhi,BLR → DEL,1740,No,11:40,14:30,170,non-stop,No info,3898,Low,0.001114364
IndiGo,03-04-19,Mumbai,Hyderabad,BOM → HYD,622,No,6:25,7:55,90,non-stop,No info,4049,Low,0.000338448
Jet Airways,15-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:30,12:35,1145,1 stop,In-flight meal not included,10262,High,0.092673869
SpiceJet,21-03-19,Chennai,Kolkata,MAA → CCU,1366,No,8:20,10:35,135,non-stop,No check-in baggage included,3332,Low,0.001951766
Jet Airways,09-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,21:10,12:00,890,1 stop,In-flight meal not included,10844,High,0.03720203
Jet Airways,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,19:55,22:35,160,non-stop,No info,7229,High,0.066758984
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,4:40,1330,1 stop,No info,13941,High,0.096462869
IndiGo,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:25,21:00,575,1 stop,No info,5894,Low,0.016803179
Multiple carriers,18-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,9:00,19:00,600,1 stop,No info,10197,High,0.039017972
Jet Airways,06-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,14:05,11:25,1280,1 stop,In-flight meal not included,13712,High,0.066758984
IndiGo,24-06-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,2:00,7:25,325,1 stop,No info,5636,Low,0.016803179
Jet Airways,06-06-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,9:40,4:25,1125,2 stops,No info,13014,High,0.092673869
Jet Airways,01-04-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,8:25,20:45,740,1 stop,In-flight meal not included,7064,High,0.009633932
Jet Airways,24-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:25,14:25,1080,1 stop,In-flight meal not included,10703,High,0.096462869
Multiple carriers,27-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,13:15,22:30,555,1 stop,No info,9646,High,0.039017972
Multiple carriers,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,13:20,665,1 stop,No info,17057,High,0.042119816
Jet Airways,12-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,16:55,10:25,1050,1 stop,No info,13817,High,0.066758984
Air India,06-03-19,Delhi,Cochin,DEL → BHO → BOM → COK,2303,BHO,5:55,19:15,800,2 stops,No info,13748,Mid,0.021058997
Air India,21-04-19,Kolkata,Banglore,CCU → BLR,1559,No,20:45,23:20,155,non-stop,No info,4880,Mid,0.004157444
IndiGo,21-06-19,Chennai,Kolkata,MAA → CCU,1366,No,5:15,7:40,145,non-stop,No info,3540,Low,0.002733855
SpiceJet,15-05-19,Banglore,Delhi,BLR → DEL,1740,No,5:55,8:35,160,non-stop,No check-in baggage included,3257,Low,0.001911711
Jet Airways,03-06-19,Banglore,Delhi,BLR → DEL,1740,No,19:50,22:50,180,non-stop,In-flight meal not included,6478,High,0.009650841
Jet Airways,18-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,7:05,8:30,85,non-stop,No info,8040,High,0.004235087
Jet Airways,12-06-19,Delhi,Cochin,DEL → ATQ → BOM → COK,2877,ATQ,20:00,12:35,995,2 stops,No info,14300,High,0.092673869
Jet Airways,15-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,8:25,20:45,740,1 stop,No info,14781,High,0.096462869
Jet Airways,09-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,8:15,735,1 stop,No info,14939,High,0.03720203
Jet Airways,24-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,20:55,4:25,450,1 stop,In-flight meal not included,10262,High,0.092673869
Air India,12-05-19,Kolkata,Banglore,CCU → MAA → BLR,1650,MAA,14:35,14:35,1440,1 stop,No info,6528,Mid,0.032907883
Air India,01-05-19,Banglore,Delhi,BLR → DEL,1740,No,6:10,8:55,165,non-stop,No info,6121,Mid,0.002439337
Jet Airways,18-05-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,19:30,4:25,535,2 stops,In-flight meal not included,13029,High,0.055619755
Multiple carriers,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:40,18:50,430,1 stop,No info,11421,High,0.042119816
Multiple carriers,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,4:45,19:15,870,1 stop,No info,7574,High,0.042119816
Air India,09-05-19,Delhi,Cochin,DEL → JDH → BOM → COK,2370,JDH,12:55,19:15,1820,2 stops,No info,11596,Mid,0.020984595
Jet Airways,24-05-19,Delhi,Cochin,DEL → AMD → BOM → COK,6416,AMD,23:05,19:00,1195,2 stops,No info,15129,High,0.055619755
Jet Airways,18-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,14:05,5:05,900,1 stop,No info,13555,High,0.066758984
IndiGo,12-04-19,Banglore,Delhi,BLR → DEL,1740,No,18:55,21:50,175,non-stop,No info,5780,Low,0.006068435
Vistara,12-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:20,9:05,765,1 stop,No info,9397,Mid,0.009582484
Jet Airways,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:15,4:25,610,1 stop,No info,17024,High,0.040169935
GoAir,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:00,12:55,355,1 stop,No info,5281,Low,0.001867654
Multiple carriers,18-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:05,22:30,925,1 stop,No info,10348,High,0.039017972
Air India,06-03-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,17:20,9:25,965,1 stop,No info,12677,Mid,0.021058997
Multiple carriers,03-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,15:25,1:35,610,1 stop,No info,15147,High,0.042119816
Vistara,12-06-19,Banglore,Delhi,BLR → DEL,1740,No,7:00,9:40,160,non-stop,No info,4668,Mid,0.002233631
Jet Airways,09-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:05,19:00,715,1 stop,No info,15554,High,0.055619755
SpiceJet,09-04-19,Banglore,Delhi,BLR → DEL,1740,No,5:55,8:35,160,non-stop,No info,3971,Low,0.002278387
Air India,03-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,15:00,16:25,85,non-stop,No info,3100,Mid,0.001061985
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,10:05,845,1 stop,In-flight meal not included,9663,High,0.096462869
Air India,01-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,23:00,19:15,1215,1 stop,No info,27430,Mid,0.021058997
IndiGo,12-05-19,Chennai,Kolkata,MAA → CCU,1366,No,5:15,7:40,145,non-stop,No info,3540,Low,0.002469661
Air India,21-05-19,Kolkata,Banglore,CCU → BBI → BOM → BLR,3882,BBI,12:00,11:10,1390,2 stops,No info,10676,Mid,0.032907883
Jet Airways,12-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,14:05,8:15,1090,1 stop,No info,13044,High,0.03720203
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,12:00,960,1 stop,No info,14388,High,0.096462869
IndiGo,24-06-19,Banglore,Delhi,BLR → DEL,1740,No,4:00,6:50,170,non-stop,No info,3943,Low,0.005589388
IndiGo,03-06-19,Chennai,Kolkata,MAA → CCU,1366,No,14:45,17:05,140,non-stop,No info,3597,Low,0.002733855
Air India,21-03-19,Banglore,New Delhi,BLR → MAA → DEL,2468,MAA,11:50,19:50,480,1 stop,No info,5932,Mid,0.024396627
Jet Airways,15-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:30,4:25,1015,1 stop,In-flight meal not included,10262,High,0.092673869
Vistara,12-05-19,Delhi,Cochin,DEL → COK,2081,No,14:40,17:50,190,non-stop,No info,6216,Mid,0.000609016
IndiGo,15-06-19,Kolkata,Banglore,CCU → BLR,1559,No,20:25,23:10,165,non-stop,No info,4804,Low,0.005787152
Multiple carriers,21-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:30,1:30,840,1 stop,No info,14067,High,0.039017972
Jet Airways,18-05-19,Delhi,Cochin,DEL → AMD → BOM → COK,6416,AMD,19:10,19:00,1430,2 stops,No info,15129,High,0.055619755
Jet Airways,06-06-19,Delhi,Cochin,DEL → NAG → BOM → COK,2596,NAG,6:45,4:25,1300,2 stops,No info,13376,High,0.092673869
Air India,27-06-19,Delhi,Cochin,DEL → GOI → BOM → COK,3013,GOI,22:00,19:15,1275,2 stops,No info,10441,Mid,0.029230629
Jet Airways,24-05-19,Banglore,Delhi,BLR → DEL,1740,No,6:00,8:45,165,non-stop,In-flight meal not included,4030,High,0.007989665
Jet Airways,03-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:00,18:50,650,1 stop,No info,17024,High,0.040169935
Multiple carriers,09-04-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:30,1:30,480,1 stop,No info,13017,High,0.001459833
GoAir,06-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,23:30,7:45,495,1 stop,No info,6686,Low,0.000389112
IndiGo,15-06-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,2:00,7:25,325,1 stop,No info,5636,Low,0.016803179
IndiGo,09-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:35,16:10,515,1 stop,No info,6442,Low,0.016803179
Multiple carriers,21-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,13:05,0:55,710,1 stop,No info,9486,High,0.039017972
Jet Airways,21-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,23:35,1655,1 stop,In-flight meal not included,10844,High,0.096462869
Jet Airways,03-06-19,Delhi,Cochin,DEL → ATQ → BOM → COK,2877,ATQ,20:00,4:25,505,2 stops,In-flight meal not included,15318,High,0.092673869
Air India,03-04-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,12:30,9:25,1255,1 stop,No info,5117,Mid,0.002944092
IndiGo,24-06-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,15:10,20:00,290,1 stop,No info,6147,Low,0.016803179
Multiple carriers,09-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,12:50,21:00,490,1 stop,No info,7005,High,0.055466841
SpiceJet,03-04-19,Kolkata,Banglore,CCU → BLR,1559,No,22:20,0:40,140,non-stop,No info,3873,Low,0.003339504
Jet Airways,21-03-19,Delhi,Cochin,DEL → BDQ → BOM → COK,2235,BDQ,18:25,18:50,1465,2 stops,In-flight meal not included,9270,High,0.040169935
GoAir,27-06-19,Banglore,Delhi,BLR → DEL,1740,No,11:40,14:30,170,non-stop,No info,3898,Low,0.000956845
Jet Airways,12-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,8:25,20:45,740,1 stop,No info,14781,High,0.096462869
Jet Airways,24-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,8:15,735,1 stop,In-flight meal not included,8586,High,0.096462869
Air India,09-05-19,Kolkata,Banglore,CCU → JAI → BOM → BLR,3115,JAI,8:20,7:55,1415,2 stops,No info,10697,Mid,0.032907883
Jet Airways,27-06-19,Delhi,Cochin,DEL → ATQ → BOM → COK,2877,ATQ,20:00,12:35,995,2 stops,No info,14300,High,0.092673869
IndiGo,03-03-19,Banglore,New Delhi,BLR → DEL,1740,No,18:55,21:45,170,non-stop,No info,8855,Low,0.011442832
Jet Airways,12-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:30,18:15,1545,1 stop,In-flight meal not included,10844,High,0.096462869
Jet Airways,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,4:25,1570,1 stop,No info,17024,High,0.040169935
Jet Airways,01-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,14:25,1730,1 stop,In-flight meal not included,9314,High,0.096462869
IndiGo,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,0:40,3:25,165,non-stop,No info,4777,Low,0.011442832
Air India,09-06-19,Kolkata,Banglore,CCU → BBI → BLR,2842,BBI,12:00,13:15,1515,1 stop,No info,7662,Mid,0.012242244
IndiGo,09-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,6:50,16:10,560,1 stop,No info,6442,Low,0.012972695
SpiceJet,12-06-19,Delhi,Cochin,DEL → PNQ → COK,2518,PNQ,8:45,13:15,270,1 stop,No info,5264,Low,0.0017248
Jet Airways,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,13:00,4:25,925,1 stop,In-flight meal not included,12898,High,0.055619755
Air India,03-03-19,Mumbai,Hyderabad,BOM → HYD,622,No,13:55,15:25,90,non-stop,No info,6092,Mid,0.006809644
SpiceJet,21-05-19,Banglore,Delhi,BLR → DEL,1740,No,5:55,8:35,160,non-stop,No info,3311,Low,0.001911711
Jet Airways,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,19:15,4:25,550,1 stop,In-flight meal not included,6540,High,0.040169935
IndiGo,27-05-19,Banglore,Delhi,BLR → DEL,1740,No,1:30,4:15,165,non-stop,No info,3419,Low,0.005391613
Jet Airways,03-04-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,14:00,12:35,1355,1 stop,In-flight meal not included,5177,High,0.003787518
Air India,18-04-19,Delhi,Cochin,DEL → COK,2081,No,18:05,21:10,185,non-stop,No info,8246,Mid,0.002944092
Jet Airways,09-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,21:05,690,1 stop,No info,14676,High,0.03720203
Multiple carriers,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:30,21:00,570,1 stop,No info,13587,High,0.055466841
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,21:10,9:20,730,1 stop,In-flight meal not included,9663,High,0.096462869
Jet Airways,12-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:30,10:05,1055,1 stop,No info,13044,High,0.03720203
IndiGo,03-04-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,20:25,1:30,305,1 stop,No info,5073,Low,0.0042969
Vistara,21-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,18:50,1550,1 stop,No info,9345,Mid,0.009582484
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,14:05,10:05,1200,1 stop,In-flight meal not included,9663,High,0.096462869
Multiple carriers,21-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:00,21:00,780,1 stop,No info,14277,High,0.039017972
Jet Airways,01-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:00,4:25,1105,1 stop,In-flight meal not included,10262,High,0.092673869
Jet Airways,27-03-19,Mumbai,Hyderabad,BOM → HYD,622,No,19:35,21:05,90,non-stop,No info,5678,High,0.00595203
Multiple carriers,15-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,16:00,1:30,570,1 stop,No info,13727,High,0.039017972
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,12:00,960,1 stop,In-flight meal not included,9663,High,0.096462869
IndiGo,12-05-19,Chennai,Kolkata,MAA → CCU,1366,No,14:45,17:05,140,non-stop,No info,3858,Low,0.002469661
SpiceJet,24-06-19,Delhi,Cochin,DEL → PNQ → COK,2518,PNQ,8:45,13:15,270,1 stop,No info,4812,Low,0.0017248
IndiGo,27-06-19,Delhi,Cochin,DEL → LKO → COK,2357,LKO,21:50,3:35,345,1 stop,No info,5775,Low,0.016803179
Jet Airways,06-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,9:45,1450,1 stop,In-flight meal not included,10539,High,0.03720203
IndiGo,03-06-19,Kolkata,Banglore,CCU → BLR,1559,No,15:30,18:05,155,non-stop,No info,4804,Low,0.005787152
Air Asia,12-06-19,Banglore,Delhi,BLR → DEL,1740,No,11:10,13:55,165,non-stop,No info,3383,Low,0.001082166
IndiGo,03-03-19,Banglore,New Delhi,BLR → HYD → DEL,1720,HYD,12:10,17:05,295,1 stop,No info,8738,Low,0.011442832
Air India,27-03-19,Delhi,Cochin,DEL → TRV → COK,2437,TRV,5:15,6:50,1535,1 stop,No info,7165,Mid,0.021058997
IndiGo,24-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,16:10,22:30,380,1 stop,No info,6412,Low,0.016803179
Jet Airways,27-06-19,Banglore,Delhi,BLR → DEL,1740,No,18:55,22:00,185,non-stop,No info,8016,High,0.009650841
